Type,Identification,Field,Locale,Market,Status,Default content,Translated content
COLLECTION,'466273370345,handle,ar,,,onion-peptides,
COLLECTION,'466273370345,meta_title,ar,,,Onion + Peptides | Combat Hair Loss and Thinning | TARA,البصل + ببتيدات | مكافحة تساقط الشعر وترقّقه | TARA
COLLECTION,'466273370345,meta_description,ar,,,"Anti-hair loss scalp care developed with Onion Extract and CapixylTM. Reduces hair loss, improves hair anchorage, and promotes growth.",عناية فروة الرأس المضادة لتساقط الشعر مطوّرة بخلاصة البصل وCapixylTM. تقلّل التساقط، تحسّن تثبيت الشعر، وتدعم النمو.
COLLECTION,'466273403113,title,ar,,,Date+ Multivitamin,تمريد+ فيتامينات متعددة
COLLECTION,'466273403113,body_html,ar,,,"<p><span>The Date+ Multivitamin collection combines the benefits of nutrient‑rich botanicals with innovative biotech to nourish, strengthen and protect your hair from within.</span></p>",<p><span>مجموعة التمر + فيتامينات متعددة تجمع بين فوائد النباتات الغنية بالمغذيات وبيوتكنولوجيا مبتكرة لتعزيز تغذية الشعر وتقويته وحمايته من الداخل.</span></p>
COLLECTION,'466273403113,handle,ar,,,date-multivitamin,
COLLECTION,'466273403113,meta_title,ar,,,Date + Multivitamin | Nutrition and Hair Wellbeing | TARA,التمر + فيتامينات متعددة | التغذية والصحة الشعرية | TARA
COLLECTION,'466273403113,meta_description,ar,,,"The Date+ Multivitamin collection combines innovative ingredients to nourish, strengthen, and protect your hair from the roots to the tips.",تجمع مجموعة التمر + فيتامينات متعددة مكوّنات مبتكرة لتغذية وتقوية الشعر وحمايته من جذوره حتى أطرافه.
COLLECTION,'466273435881,title,ar,,,Detox, ديتوكس
COLLECTION,'466273435881,body_html,ar,,,"<p>The Tara Detox collection is the reset your scalp needs. Removes residue and impurities, revives follicles, balances sebum production and improves overall hair health.</p>",<p>روتين Tara Detox هو إعادة تهيئة لفروة الرأس. يزيل الرواسب والشوائب، ينعش البصيلات، يوازن إفرازات الزهم ويحسّن صحة الشعر بشكل عام.</p>
COLLECTION,'466273435881,handle,ar,,,detox,
COLLECTION,'466273435881,meta_title,ar,,,Detox | Purifies and Rebalances the Scalp | TARA,ديتوكس | ينقي ويعيد توازن فروة الرأس | TARA
COLLECTION,'466273435881,meta_description,ar,,,"The Detox collection from TARA removes residues and impurities, revitalizes follicles, balances sebum production, and improves overall hair health.",تزيل مجموعة ديتوكس من TARA الرواسب والشوائب، تنشط البصيلات، توازن إفراز الدهون، وتحسّن صحة الشعر عمومًا.
COLLECTION,'466273468649,title,ar,,,Strawberry+ NMF,الفراولة + عوامل الترطيب الطبيعية
COLLECTION,'466273468649,body_html,ar,,,"<p><span>The Strawberry+ NMF collection is the definitive solution for dehydrated hair. Our 3‑step hydrating routine restores and maintains natural moisture, seals cuticles and leaves hair shiny, silky and frizz‑free.</span></p>",<p><span>مجموعة الفراولة + عوامل الترطيب الطبيعية هي الحل الأساسي للشعر الجاف. روتيننا المكوَّن من 3 خطوات يعيد الترطيب الطبيعي، يغلق القشرة ويترك الشعر لامعًا وناعمًا وخالٍ من التموج.</span></p>
COLLECTION,'466273468649,handle,ar,,,strawberry-nmf,
COLLECTION,'466273468649,meta_title,ar,,,Strawberry + NMF | Hydration for Hair | TARA,الفراولة + عوامل الترطيب الطبيعية | ترطيب للشعر | TARA
COLLECTION,'466273468649,meta_description,ar,,,"The ultimate solution for dehydrated hair. Hydrating routine that restores moisture, seals cuticles, and leaves hair silky and frizz-free.",حلّ نهائي للشعر الجاف. روتين مرطّب يستعيد الرطوبة، يغلق القشور، ويترك الشعر ناعمًا وخاليًا من التجعيد.
COLLECTION,'466273501417,title,ar,,,Best Sellers,الأكثر مبيعًا
COLLECTION,'466273501417,body_html,ar,,,"<p>Discover Tara’s top‑selling haircare products. Expert formulas that strengthen scalp and hair, chosen by those seeking visible, lasting results.</p>",<p>اكتشفي منتجات Tara الأكثر مبيعًا. تركيبات خبراء تقوّي فروة الرأس والشعر، مختارة لمن يبحثون عن نتائج مرئية ومستدامة.</p>
COLLECTION,'466273501417,handle,ar,,,best-sellers,
COLLECTION,'466273501417,meta_title,ar,,,Best Selling Products | TARA,المنتجات الأكثر مبيعًا | TARA
COLLECTION,'466273501417,meta_description,ar,,,Discover the best-selling scalp-care products from TARA. Expert formulas that strengthen the scalp and hair for visible results.,اكتشفي منتجات العناية بفروة الرأس الأكثر مبيعًا من TARA. تركيبات خبيرة تقوّي فروة الرأس والشعر لنتائج قابلة للملاحظة.
COLLECTION,'466273534185,title,ar,,,Hair Masks,أقنعة الشعر
COLLECTION,'466273534185,body_html,ar,,,"<p>High‑performance hair masks that repair, nourish and strengthen hair deeply. Intensive treatments for a stronger, healthier hair fiber.</p>",<p>أقنعة أداء عالٍ تُرمّم، تُغذّي وتُقوّي الشعر بعمق. علاجات مكثفة لزيادة قوة وخامة خصلات الشعر.</p>
COLLECTION,'466273534185,handle,ar,,,hair-masks,
COLLECTION,'466273534185,meta_title,ar,,,Silicone-free Hair Masks | TARA,أقنعة شعر خالية من السيليكون | TARA
COLLECTION,'466273534185,meta_description,ar,,,"High-efficacy hair masks that repair, nourish, and strengthen hair. Intensive treatments for stronger and healthier hair fiber.",أقنعة شعر عالية الفعالية ترمّم، تغذّي، وتقوّي الشعر. علاجات مكثفة لشعرة أكثر قوة وصحّة.
COLLECTION,'466273566953,title,ar,,,New Arrivals,وصل حديثًا
COLLECTION,'466273566953,body_html,ar,,,<p>Discover the latest from Tara in haircare. New formulas and advanced actives designed to improve scalp health and hair fiber performance.</p>,<p>اكتشفي أحدث ما قدمته TARA في مجال العناية بالشعر. صيغ جديدة ومكونات فعّالة متقدمة صمّمت لتحسين صحة فروة الرأس وأداء خصلات الشعر.</p>
COLLECTION,'466273566953,handle,ar,,,new-arrivals,
COLLECTION,'466273599721,title,ar,,,By Product,حسب المنتج
COLLECTION,'466273599721,body_html,ar,,,"<p>Find your ideal hair routine by browsing products by type. Shampoos, conditioners, treatments and finishes formulated for expert care.</p>",<p>ابحثي عن روتينك المثالي عبر تصفح المنتجات بحسب النوع. شامبوهات، بلسم، علاجات ولمسات نهائية مُصمّمة للعناية المتخصصة.</p>
COLLECTION,'466273599721,handle,ar,,,by-product,
COLLECTION,'466273599721,meta_title,ar,,,Tipo de Producto | TARA,Tipo de Producto | TARA
COLLECTION,'466273599721,meta_description,ar,,,"Explore the shampoos, conditioners, treatments, and finishes formulated by TARA for transformative scalp care from the root.",استكشفي الشامبو، البلسم، المعالجات، واللمسات النهائية المصمّمة من TARA لعناية تحولية بفروة الرأس من الجذر.
COLLECTION,'466273632489,title,ar,,,Award‑Winners,الحائزون على جوائز
COLLECTION,'466273632489,body_html,ar,,,"<p>Explore Tara’s award‑winning products, recognized for innovation and efficacy in scalp and haircare. Results backed by experts.</p>",<p>استكشفي منتجات TARA الحاصلة على جوائز، المعترف بها للابتكار والفعالية في العناية بفروة الرأس والشعر. نتائج مدعومة من الخبراء.</p>
COLLECTION,'466273632489,handle,ar,,,award-winners,
COLLECTION,'466273632489,meta_title,ar,,,Productos Capilares Premiados | TARA,Productos Capilares Premiados | TARA
COLLECTION,'466273632489,meta_description,ar,,,"Explore the award-winning products of TARA, recognized for their innovation and effectiveness in scalp and hair care. Backed by experts.",استكشفي منتجات TARA الحائزة على جوائز والمعترف بها لابتكارها وفعاليتها في عناية فروة الرأس والشعر. مدعومة بخبراء.
COLLECTION,'466273665257,title,ar,,,Finishing Products,منتجات التشطيب
COLLECTION,'466273665257,body_html,ar,,,"<p>Finishing products that protect, define and beautify hair without compromising health. Lightweight formulas that care while leaving hair looking its best.</p>",<p>منتجات نهائية تحمي، تحدد وتجمّل الشعر دون المساس بصحته. صيغ خفيفة تعتني بالشعر وتبرز مظهره.</p>
COLLECTION,'466273665257,handle,ar,,,finishing-products,
COLLECTION,'466273665257,meta_title,ar,,,Productos de Acabado | TARA,Productos de Acabado | TARA
COLLECTION,'466273698025,title,ar,,,Rosemary+ Peptides,إكليل الجبل + ببتيدات
COLLECTION,'466273698025,body_html,ar,,,"<p>Boost growth and density with our Rosemary+ Peptides collection. Revitalizes follicles, stimulates new hair production and strengthens structure. Highly restorative for the scalp.</p>",<p>عزّزي النمو والكثافة مع مجموعة Rosemary+ Peptides. تنعش البصيلات، تحفّز إنتاج شعر جديد وتقوّي البنية. فعّالة جدًا في ترميم فروة الرأس.</p>
COLLECTION,'466273698025,handle,ar,,,rosemary-peptides,
COLLECTION,'466273698025,meta_title,ar,,,Rosemary + Peptides | Hair Growth and Density | TARA,إكليل الجبل + ببتيدات | نمو الشعر وكثافته | TARA
COLLECTION,'466273698025,meta_description,ar,,,"Boost the growth and density of your hair with Rosemary + Peptides. Revitalize the follicles, stimulate growth, and strengthen the hair.",يعزّز نمو وكثافة الشعر مع إكليل الجبل + ببتيدات. ينشط البصيلات، يحفّز النمو، ويقوّي خصلات الشعر.
COLLECTION,'466273730793,title,ar,,,Sage+ Multivitamin,الميرمية + فيتامينات متعددة
COLLECTION,'466273730793,body_html,ar,,,"<p>Keep hair vibrant with our well‑aging line. Sage+ Multivitamin prevents premature aging, protects against oxidative stress and slows grey onset.</p>",<p>احفظي حيوية الشعر مع خط التقدم الصحي لدينا. الميرمية + فيتامينات متعددة يمنع التقدّم المبكر للشيخوخة، ويحمي من الإجهاد التأكسدي، ويبطئ ظهور الشيب.</p>
COLLECTION,'466273730793,handle,ar,,,sage-multivitamin,
COLLECTION,'466273730793,meta_title,ar,,,Sage+ Multivitamin | Anti-Aging Hair | TARA,الميرمية + فيتامينات متعددة | مقاومة تقدّم سن الشعر | TARA
COLLECTION,'466273730793,meta_description,ar,,,"Keep your hair vibrant with Salvia+ Multivitamin, it prevents premature aging, protects against oxidative stress, and slows down gray hair.",حافظي على حيوية شعرك مع الميرمية + فيتامينات متعددة، يمنع الشيخوخة المبكرة، يحمي من الإجهاد التأكسدي، ويبطئ ظهور الشيب.
COLLECTION,'466273763561,title,ar,,,Scalp Serums,سيرومات فروة الرأس
COLLECTION,'466273763561,body_html,ar,,,"<p>Targeted serums for scalp care. Help reinforce the root, balance the scalp and support healthy hair growth.</p>",<p>سيرومات مخصّصة للعناية بفروة الرأس. تساهم في تعزيز الثبات الجذري، توازن الفروة ودعم نمو شعر صحي.</p>
COLLECTION,'466273763561,handle,ar,,,scalp-serums,
COLLECTION,'466273763561,meta_title,ar,,,Serums for the Scalp | TARA,سيرومات لفروة الرأس | TARA
COLLECTION,'466273796329,title,ar,,,Conditioners,البلسمات
COLLECTION,'466273796329,body_html,ar,,,"<p>Conditioners that hydrate, detangle and strengthen without weighing hair down. Designed to improve hair resilience and appearance day after day.</p>",<p>بلسمات ترطّب، تسهّل فكّ التشابك وتقوّي دون إثقال الشعر. مصمّمة لتحسين مرونة ومظهر الشعر يومًا بعد يوم.</p>
COLLECTION,'466273796329,handle,ar,,,conditioners,
COLLECTION,'466273796329,meta_title,ar,,,Silicone-free conditioners | TARA,بلسمات خالية من السيليكون | TARA
COLLECTION,'466273796329,meta_description,ar,,,"Silicone-free conditioners that hydrate, detangle, and strengthen hair without weighing it down. Designed to enhance the resilience and appearance of hair.",بلسمات خالية من السيليكون ترطّب، تفكّ التشابك، وتقوّي الشعر دون إثقاله. مصمّمة لتحسين مرونة ومظهر الشعر.
COLLECTION,'466273829097,title,ar,,,Shampoos,Shampoos
COLLECTION,'466273829097,body_html,ar,,,"<p data-start=""1144"" data-end=""1315"">Sulfate‑free shampoos that cleanse effectively without irritating the scalp. Choose the shampoo that fits your need: anti‑hair‑loss, strengthening, densifying, hydrating, repairing, nourishing or purifying.</p>","<p data-start=""1144"" data-end=""1315"">شامبوهات خالية من الكبريتات تنظّف بفعالية دون تهييج فروة الرأس. اختاري الشامبو المناسب لحاجتك: مضاد للتساقط، مقوٍ، معزز للكثافة، مرطّب، مرمّم، مغذّي أو منظف عميق.</p>"
COLLECTION,'466273829097,handle,ar,,,shampoos,
COLLECTION,'466273829097,meta_title,ar,,,Sulfate-free shampoos | Treatments for the scalp | TARA,شامبو خالٍ من الكبريتات | علاجات لفروة الرأس | TARA
COLLECTION,'466273829097,meta_description,ar,,,"Sulfate-free shampoos that effectively cleanse without harming the scalp. Choose your shampoo from TARA: anti-hair loss, densifying, moisturizing, repairing, nourishing, detox...",شامبو خالٍ من الكبريتات ينظف فروة الرأس بفعالية دون إلحاق الضرر. اختر شامبو من TARA: مضاد لتساقط الشعر، كثافة، ترطيب، إصلاح، تغذية، تنقية...
COLLECTION,'466279334121,title,ar,,,Avocado Oil,زيت الأفوكادو
COLLECTION,'466279334121,handle,ar,,,avocado-oil,
COLLECTION,'466279366889,title,ar,,,Argan Oil,زيت الأرغان
COLLECTION,'466279366889,handle,ar,,,argan-oil,
COLLECTION,'466279399657,title,ar,,,Olive Oil,زيت الزيتون
COLLECTION,'466279399657,handle,ar,,,olive-oil,
COLLECTION,'466279465193,title,ar,,,Sesame Oil,زيت السمسم
COLLECTION,'466279465193,handle,ar,,,sesame-oil,
COLLECTION,'466279497961,title,ar,,,Grape Oil,زيت العنب
COLLECTION,'466279497961,handle,ar,,,grape-oil,
COLLECTION,'466279530729,title,ar,,,Acetyl Tetrapeptide-3,Acetyl Tetrapeptide-3
COLLECTION,'466279530729,handle,ar,,,acetyl-tetrapeptide-3,
COLLECTION,'466279563497,title,ar,,,Salicylic Acid,Salicylic Acid
COLLECTION,'466279563497,handle,ar,,,salicylic-acid,
COLLECTION,'466279596265,title,ar,,,Black Garlic,الثوم الأسود
COLLECTION,'466279596265,body_html,ar,,,"",
COLLECTION,'466279596265,handle,ar,,,black-garlic,
COLLECTION,'466279629033,title,ar,,,Red Algae,Red Algae
COLLECTION,'466279629033,handle,ar,,,red-algae,
COLLECTION,'466279661801,title,ar,,,Ghassoul Clay,Ghassoul Clay
COLLECTION,'466279661801,handle,ar,,,ghassoul-clay,
COLLECTION,'466279694569,title,ar,,,Biotinoyl Tripeptide-1,Biotinoyl Tripeptide-1
COLLECTION,'466279694569,handle,ar,,,biotinoyl-tripeptide-1,
COLLECTION,'466279760105,title,ar,,,Activated Charcoal,Activated Charcoal
COLLECTION,'466279760105,handle,ar,,,activated-charcoal,
COLLECTION,'466279792873,title,ar,,,Ceramide NP,Ceramide NP
COLLECTION,'466279792873,handle,ar,,,ceramide-np,
COLLECTION,'466279825641,title,ar,,,Ceramides,سيراميدات
COLLECTION,'466279825641,body_html,ar,,,"",
COLLECTION,'466279825641,handle,ar,,,ceramides,
COLLECTION,'466279858409,title,ar,,,Hydrolyzed Collagen,Hydrolyzed Collagen
COLLECTION,'466279858409,handle,ar,,,hydrolyzed-collagen,
COLLECTION,'466279891177,title,ar,,,Plant Collagen,Plant Collagen
COLLECTION,'466279891177,body_html,ar,,,"",
COLLECTION,'466279891177,handle,ar,,,plant-collagen,
COLLECTION,'466279923945,title,ar,,,Multivitamin Complex,مركب فيتامينات متعددة
COLLECTION,'466279923945,handle,ar,,,multivitamin-complex,
COLLECTION,'466279956713,title,ar,,,Inga Alba Bark,Inga Alba Bark
COLLECTION,'466279956713,handle,ar,,,inga-alba-bark,
COLLECTION,'466279989481,title,ar,,,Red Onion Extract,Red Onion Extract
COLLECTION,'466279989481,handle,ar,,,red-onion-extract,
COLLECTION,'466280022249,title,ar,,,Date Extract,مستخلص التمر
COLLECTION,'466280022249,handle,ar,,,date-extract,
COLLECTION,'466280055017,title,ar,,,Strawberry Extract,مستخلص الفراولة
COLLECTION,'466280055017,handle,ar,,,strawberry-extract,
COLLECTION,'466280087785,title,ar,,,Yeast Extract,Yeast Extract
COLLECTION,'466280087785,handle,ar,,,yeast-extract,
COLLECTION,'466280120553,title,ar,,,Cactus (Nopal) Extract,Cactus (Nopal) Extract
COLLECTION,'466280120553,handle,ar,,,cactus-extract,
COLLECTION,'466280153321,title,ar,,,Rosemary Extract,مستخلص إكليل الجبل
COLLECTION,'466280153321,handle,ar,,,rosemary-extract,
COLLECTION,'466280186089,title,ar,,,Sage Extract,مستخلص الميرمية
COLLECTION,'466280186089,handle,ar,,,sage-extract,
COLLECTION,'466280218857,title,ar,,,Soy Extract,Soy Extract
COLLECTION,'466280218857,handle,ar,,,soy-extract,
COLLECTION,'466280251625,title,ar,,,Natural Moisturizing Factor (NMF),عوامل الترطيب الطبيعية (NMF)
COLLECTION,'466280251625,handle,ar,,,natural-moisturizing-factor-nmf,
COLLECTION,'466280284393,title,ar,,,Shea Butter,زبدة الشيا
COLLECTION,'466280284393,handle,ar,,,shea-butter,
COLLECTION,'466280317161,title,ar,,,Mango Butter,زبدة المانجو
COLLECTION,'466280317161,handle,ar,,,mango-butter,
COLLECTION,'466280349929,title,ar,,,Mango Butter,زبدة المانجو
COLLECTION,'466280349929,handle,ar,,,mango-butter-1,
COLLECTION,'466280382697,title,ar,,,Micro Keratin,Micro Keratin
COLLECTION,'466280382697,handle,ar,,,micro-keratin,
COLLECTION,'466280415465,title,ar,,,Niacinamide,Niacinamide
COLLECTION,'466280415465,handle,ar,,,niacinamide,
COLLECTION,'466280448233,title,ar,,,Palmitoyl Dipeptide-52,Palmitoyl Dipeptide-52
COLLECTION,'466280448233,handle,ar,,,palmitoyl-dipeptide-52,
COLLECTION,'466280481001,title,ar,,,Ginger Root,Ginger Root
COLLECTION,'466280481001,handle,ar,,,ginger-root,
COLLECTION,'466280513769,title,ar,,,Celery Seed,Celery Seed
COLLECTION,'466280513769,handle,ar,,,celery-seed,
COLLECTION,'466280546537,title,ar,,,Vitamin B5,Vitamin B5
COLLECTION,'466280546537,handle,ar,,,vitamin-b5,
COOKIE_BANNER,'9447997673,policy_link_text,ar,,,Privacy Policy,سياسة الخصوصية
COOKIE_BANNER,'9447997673,title,ar,,,Cookie consent,إذن الكوكيز
COOKIE_BANNER,'9447997673,text,ar,,,"We and our partners, including Shopify, use cookies and other technologies to personalize your experience, show you ads, and perform analytics, and we will not use cookies or other technologies for these purposes unless you accept them. Learn more in our ",نستخدم نحن وشركاؤنا، بما في ذلك Shopify، الكوكيز وتقنيات أخرى لتخصيص تجربتك، وعرض الإعلانات، وتحليل البيانات. لن نستخدم الكوكيز أو التقنيات الأخرى لهذه الأغراض ما لم تقبلها. تعرف على المزيد في سياسة الخصوصية لدينا.
COOKIE_BANNER,'9447997673,button_prefs_open_text,ar,,,Manage preferences,إدارة التفضيلات
COOKIE_BANNER,'9447997673,button_accept_text,ar,,,Accept,أوافق
COOKIE_BANNER,'9447997673,button_decline_text,ar,,,Decline,رفض
COOKIE_BANNER,'9447997673,preferences_title,ar,,,Cookie and privacy preferences,تفضيلات ملفات تعريف الارتباط والخصوصية
COOKIE_BANNER,'9447997673,preferences_intro_title,ar,,,You control your data,أنت تتحكم في بياناتك
COOKIE_BANNER,'9447997673,preferences_intro_text,ar,,,"Learn more about the cookies we use, and choose which cookies to allow.",تعرف على الكوكيز التي نستخدمها، واختر الكوكيز المسموح بها.
COOKIE_BANNER,'9447997673,preferences_button_accept_text,ar,,,Accept all,قبول الكل
COOKIE_BANNER,'9447997673,preferences_button_decline_text,ar,,,Decline all,رفض الكل
COOKIE_BANNER,'9447997673,preferences_button_save_text,ar,,,Save my choices,احفظ اختياراتي
COOKIE_BANNER,'9447997673,preferences_bullet_points_title,ar,,,If you accept all cookies,إذا قبلت جميع الكوكيز
COOKIE_BANNER,'9447997673,preferences_bullet_points_first_text,ar,,,Our site may be improved based on your interests,قد يتحسن موقعنا بناءً على اهتماماتك
COOKIE_BANNER,'9447997673,preferences_bullet_points_second_text,ar,,,Your preferences may be stored for when you return,قد تُخزّن تفضيلاتك عند عودتك
COOKIE_BANNER,'9447997673,preferences_bullet_points_third_text,ar,,,You may see advertising that's tailored to you,قد ترى إعلانات مخصّصة لك
COOKIE_BANNER,'9447997673,preferences_purposes_essential_name,ar,,,Required,ضروري
COOKIE_BANNER,'9447997673,preferences_purposes_essential_desc,ar,,,"These cookies are necessary for the site to function properly, including capabilities like logging in and adding items to the cart.",هذه الكوكيز ضرورية لعمل الموقع بشكل صحيح، بما في ذلك تسجيل الدخول وإضافة عناصر إلى عربة التسوق.
COOKIE_BANNER,'9447997673,preferences_purposes_performance_name,ar,,,Analytics,تحليلات
COOKIE_BANNER,'9447997673,preferences_purposes_performance_desc,ar,,,These cookies help us understand how you interact with the site. We use this data to identify areas to improve.,تساعدنا هذه الكوكيز على فهم تواصلك مع الموقع. نستخدم هذه البيانات لتحديد مجالات التحسين.
COOKIE_BANNER,'9447997673,preferences_purposes_preferences_name,ar,,,Personalization,التخصيص
COOKIE_BANNER,'9447997673,preferences_purposes_preferences_desc,ar,,,These cookies store details about your actions to personalize your next visit to the website.,تخزّن هذه الكوكيز تفاصيل حول أفعالك لتخصيص زيارتك التالية للموقع.
COOKIE_BANNER,'9447997673,preferences_purposes_marketing_name,ar,,,Marketing,التسويق
COOKIE_BANNER,'9447997673,preferences_purposes_marketing_desc,ar,,,"These cookies are used by us and our partners, including Shopify, to optimize marketing communications and show you ads on other websites.",تُستخدم هذه الكوكيز من قبلنا وشركائنا، بما في ذلك Shopify، لتحسين الاتصالات التسويقية وعرض الإعلانات في مواقع أخرى.
COOKIE_BANNER,'9447997673,policy_link_url,ar,,,http://sa.taraformula.com/policies/privacy-policy,http://sa.taraformula.com/policies/privacy-policy
DELIVERY_METHOD_DEFINITION,'784712958185,name,ar,,,قياسي,قياسي
DELIVERY_METHOD_DEFINITION,'784712990953,name,ar,,,سريع,سريع
DELIVERY_METHOD_DEFINITION,'784713023721,name,ar,,,International,دولي
FILTER,'79464562921,label,ar,,,Availability,التوفر
FILTER,'79464595689,label,ar,,,Price,السعر
LINK,'603780710633,title,ar,,,Hair,الشعر
LINK,'603780743401,title,ar,,,Our Ingredients,مكوناتنا
LINK,'603780808937,title,ar,,,Search,بحث
LINK,'603780841705,title,ar,,,Orders,الطلبات
LINK,'603780874473,title,ar,,,Profile,الملف
LINK,'603936620777,title,ar,,,Privacy Policy,سياسة الخصوصية
LINK,'603936653545,title,ar,,,Terms & Conditions,الشروط والأحكام
LINK,'603936686313,title,ar,,,Shipping & Returns,الشحن والإرجاع
LINK,'603936719081,title,ar,,,Contact Us,اتصل بنا
LINK,'603937669353,title,ar,,,Our Philosophy,فلسفتنا
LINK,'603937702121,title,ar,,,Consultation ,استشارة
LINK,'603937734889,title,ar,,,Journal,المجلة
MEDIA_IMAGE,'39074988753129,alt,ar,,,"",
MEDIA_IMAGE,'39074988785897,alt,ar,,,"",
MEDIA_IMAGE,'39074988818665,alt,ar,,,"",
MEDIA_IMAGE,'39074988851433,alt,ar,,,"",
MEDIA_IMAGE,'39074988884201,alt,ar,,,"",
MEDIA_IMAGE,'39074988916969,alt,ar,,,"",
MEDIA_IMAGE,'39074988949737,alt,ar,,,"",
MEDIA_IMAGE,'39074988982505,alt,ar,,,"",
MEDIA_IMAGE,'39074989015273,alt,ar,,,"",
MEDIA_IMAGE,'39074989048041,alt,ar,,,"",
MEDIA_IMAGE,'39074989080809,alt,ar,,,"",
MEDIA_IMAGE,'39074989113577,alt,ar,,,"",
MEDIA_IMAGE,'39074989146345,alt,ar,,,"",
MEDIA_IMAGE,'39074989179113,alt,ar,,,"",
